idx,ylossParam4At2,ylossParam4At4,ylossParam4At6,ylossParam4var,remnant_energy_loss_fraction,shadowing_factor,tau_form_mean,BG,string_source_sigma_x,string_source_sigma_eta,stringTransverseShiftFrac,shear_viscosity_3_eta_over_s_T_kink_in_GeV,shear_viscosity_3_eta_over_s_low_T_slope_in_GeV,shear_viscosity_3_eta_over_s_high_T_slope_in_GeV,shear_viscosity_3_eta_over_s_at_kink,bulk_viscosity_3_zeta_over_s_max,bulk_viscosity_3_zeta_over_s_T_peak_in_GeV,bulk_viscosity_3_zeta_over_s_width_in_GeV,bulk_viscosity_3_zeta_over_s_lambda_asymm,eps_switch
289,1.134,2.068,1.89,0.501,0.275,0.063,0.6888,24.885,0.2908,0.1203,0.913,0.18661,-1.013,0.971,0.07251,0.11849,0.1605,0.08788,-0.6278,0.2195
290,0.79,1.836,0.882,0.699,0.287,0.023,0.8968,5.933,0.1916,0.2799,0.069,0.24645,-1.595,1.925,0.12761,0.04667,0.21702,0.10412,0.2822,0.2155
291,0.218,1.956,5.298,0.399,0.413,0.201,0.8024,12.557,0.3948,0.6761,0.037,0.26923,0.319,0.101,0.02349,0.01057,0.29226,0.14062,-0.625,0.2045
292,0.11,1.668,4.518,0.907,0.777,0.265,0.9432,13.569,0.2596,0.3779,0.207,0.22027,-0.161,1.091,0.03375,0.02615,0.20658,0.07437,-0.2694,0.2175
293,1.622,1.684,5.31,0.061,0.867,0.635,0.5656,23.643,0.1436,0.5795,0.849,0.24407,0.673,1.559,0.07175,0.18499,0.21378,0.12488,0.075,0.1715
294,0.486,0.94,0.69,0.731,0.385,0.413,0.948,8.187,0.2348,0.1749,0.133,0.20905,-1.115,0.629,0.04705,0.06453,0.12774,0.06037,-0.1658,0.5125
295,0.194,1.532,5.742,0.783,0.189,0.485,0.86,2.115,0.4628,0.2449,0.811,0.16893,-1.211,0.359,0.16447,0.09037,0.17274,0.09962,-0.765,0.2535
296,0.554,3.58,5.67,0.941,0.515,0.913,0.852,7.543,0.3652,0.3737,0.865,0.27739,0.313,-0.697,0.12457,0.02881,0.25878,0.10112,0.0778,0.3435
297,1.586,2.812,0.162,0.309,0.243,0.555,0.4168,3.311,0.3308,0.2505,0.017,0.15873,-0.437,1.613,0.13787,0.11279,0.2379,0.05663,0.1842,0.5565
298,1.674,0.716,5.73,0.619,0.065,0.875,0.2248,18.951,0.2196,0.4185,0.621,0.17233,-1.943,1.031,0.14243,0.16523,0.17418,0.13262,-0.4234,0.3075
299,1.29,1.092,0.066,0.117,0.363,0.957,0.644,14.489,0.4956,0.6579,0.589,0.16247,-1.265,0.563,0.10481,0.11735,0.21558,0.07587,-0.7622,0.4455
300,0.322,1.916,5.982,0.001,0.083,0.873,0.572,11.361,0.3676,0.6341,0.191,0.21041,0.721,0.881,0.06415,0.14357,0.20334,0.07812,-0.373,0.5095
301,0.186,1.596,2.166,0.207,0.181,0.453,0.3016,18.353,0.4204,0.4213,0.261,0.29711,-1.349,0.179,0.02273,0.16751,0.2955,0.06062,0.5902,0.3805
302,1.382,3.588,1.338,0.831,0.615,0.019,0.4488,9.843,0.474,0.4353,0.109,0.29303,0.265,0.377,0.02729,0.13141,0.28182,0.11263,0.0246,0.4915
303,1.19,1.332,5.346,0.299,0.775,0.115,0.8632,22.953,0.19,0.6607,0.761,0.13595,0.835,0.635,0.07897,0.01627,0.24042,0.05513,-0.4906,0.2295
304,1.758,2.556,4.602,0.319,0.131,0.237,0.9448,11.959,0.4596,0.3527,0.427,0.20633,-1.727,-0.199,0.11013,0.19943,0.13098,0.10963,0.2626,0.3885
305,1.002,0.02,4.398,0.317,0.961,0.045,0.428,22.447,0.4644,0.1875,0.549,0.26515,0.523,0.941,0.04135,0.03109,0.29442,0.07112,-0.1574,0.5335
306,1.47,1.452,4.374,0.603,0.353,0.479,0.2616,18.123,0.2788,0.1077,0.467,0.25631,-0.011,0.701,0.18005,0.07213,0.14286,0.12912,-0.3142,0.5415
307,1.882,0.956,4.446,0.229,0.199,0.577,0.4824,2.483,0.2572,0.4619,0.495,0.13085,0.211,0.539,0.17397,0.14433,0.27642,0.02588,-0.4038,0.4165
308,0.954,1.196,0.606,0.645,0.711,0.439,0.7896,13.477,0.3796,0.7419,0.721,0.25903,-0.245,1.643,0.12039,0.02273,0.1803,0.04412,0.565,0.5975
309,0.63,0.74,0.054,0.757,0.173,0.917,0.6168,16.145,0.2564,0.3303,0.077,0.27365,-1.835,1.079,0.12191,0.09987,0.24402,0.02738,-0.6222,0.2645
310,0.342,3.684,3.15,0.127,0.521,0.751,0.66,18.721,0.294,0.6747,0.995,0.18117,-0.947,-0.271,0.05959,0.19031,0.25518,0.05638,-0.7118,0.1435
311,0.082,1.252,3.258,0.251,0.953,0.865,0.5368,7.911,0.2812,0.7937,0.529,0.24169,-1.409,0.947,0.10519,0.14319,0.28722,0.12338,0.4166,0.3875
312,1.178,1.268,5.79,0.847,0.013,0.925,0.924,21.159,0.306,0.2631,0.585,0.22877,0.181,-0.175,0.19677,0.08657,0.1821,0.05138,-0.1714,0.3695
313,0.906,3.316,5.406,0.999,0.539,0.185,0.3928,13.339,0.458,0.4283,0.953,0.26855,-0.461,-0.349,0.05085,0.18917,0.24222,0.02838,0.1142,0.2385
314,0.118,3.628,2.142,0.837,0.795,0.183,0.6456,24.701,0.4172,0.6691,0.691,0.15295,-1.475,1.481,0.15307,0.07327,0.17382,0.12563,0.5762,0.3325
315,1.522,1.852,2.298,0.593,0.009,0.941,0.2584,13.615,0.3724,0.2337,0.571,0.15941,-1.709,0.011,0.04211,0.12875,0.15906,0.12263,0.3018,0.1105
316,0.934,1.652,2.37,0.591,0.457,0.015,0.9368,7.957,0.4388,0.7503,0.453,0.16757,-0.233,1.715,0.04059,0.17701,0.2865,0.06837,-0.5998,0.4005
317,1.074,3.724,2.802,0.235,0.055,0.805,0.3368,6.761,0.154,0.5263,0.243,0.19681,-1.139,-0.655,0.17853,0.16029,0.16626,0.13112,-0.2918,0.1725
318,1.934,1.868,1.194,0.913,0.107,0.359,0.4808,15.133,0.4364,0.6369,0.239,0.22741,-0.623,-0.583,0.12837,0.14623,0.26994,0.11063,0.3886,0.4615
319,1.058,2.7,1.05,0.147,0.101,0.827,0.8264,22.171,0.2644,0.4129,0.329,0.14955,0.709,1.511,0.07973,0.11089,0.12306,0.03913,-0.149,0.3625
320,0.45,3.108,5.13,0.753,0.203,0.783,0.7496,10.487,0.1668,0.3037,0.597,0.26005,0.931,0.131,0.17663,0.05465,0.13206,0.12837,0.467,0.2255
321,0.042,1.676,1.002,0.193,0.997,0.219,0.8488,14.029,0.3372,0.3541,0.941,0.16655,-1.817,1.859,0.18993,0.09189,0.18642,0.06962,0.2654,0.3035
322,0.73,1.284,1.926,0.335,0.359,0.811,0.4264,24.011,0.4068,0.4731,0.651,0.25801,-1.025,-0.937,0.05427,0.12723,0.12522,0.06812,0.243,0.1525
323,1.078,1.26,3.57,0.955,0.701,0.597,0.5544,6.163,0.3236,0.7489,0.891,0.16859,-0.977,-0.973,0.19715,0.05883,0.19182,0.02563,0.439,0.1315
324,0.234,2.492,0.906,0.585,0.713,0.367,0.8088,17.433,0.1092,0.5879,0.653,0.16043,0.037,0.047,0.09949,0.10481,0.24294,0.06137,-0.793,0.3525
325,1.526,3.028,2.838,0.031,0.753,0.147,0.6872,12.051,0.4748,0.6635,0.231,0.17335,0.961,1.763,0.08999,0.03641,0.25266,0.07787,-0.0566,0.3445
326,1.03,0.492,5.874,0.275,0.975,0.129,0.6056,12.373,0.2604,0.4045,0.141,0.20157,-1.685,0.719,0.17359,0.05351,0.16338,0.11313,0.1618,0.4855
327,0.058,1.388,2.586,0.875,0.865,0.061,0.3464,20.791,0.414,0.1567,0.301,0.17131,0.301,1.991,0.07555,0.01399,0.1767,0.10037,-0.2106,0.5655
328,1.206,3.804,4.65,0.445,0.955,0.837,0.2776,11.039,0.2972,0.5669,0.209,0.21959,0.859,0.275,0.07479,0.03869,0.18462,0.14188,-0.0454,0.5465
329,1.502,2.692,0.798,0.905,0.481,0.213,0.3512,9.107,0.1644,0.4843,0.829,0.27875,-0.539,0.761,0.09759,0.19715,0.12414,0.05813,0.5678,0.4235
330,0.818,3.18,2.67,0.049,0.845,0.519,0.2488,20.837,0.2524,0.3793,0.067,0.29507,-0.923,-0.871,0.09151,0.11241,0.24366,0.07037,-0.737,0.1055
331,1.162,1.476,3.042,0.051,0.717,0.779,0.892,9.199,0.4572,0.7825,0.823,0.24373,0.997,0.389,0.19069,0.19069,0.18966,0.05863,-0.457,0.4975
332,1.946,0.1,3.69,0.813,0.383,0.233,0.7784,7.405,0.102,0.7615,0.375,0.14479,-0.155,0.353,0.15573,0.07669,0.16662,0.07913,-0.5942,0.5495
333,1.226,0.348,4.866,0.787,0.115,0.433,0.9928,7.819,0.4284,0.3107,0.547,0.29575,-1.121,1.151,0.19183,0.07403,0.28434,0.11088,0.3074,0.1375
334,0.382,2.684,1.626,0.959,0.031,0.683,0.4856,18.997,0.3292,0.7013,0.339,0.24951,0.145,0.533,0.08391,0.16827,0.1659,0.09513,-0.5802,0.5345
335,0.462,3.42,0.846,0.277,0.207,0.727,0.372,5.243,0.394,0.7433,0.481,0.13799,-0.305,-0.469,0.16903,0.07099,0.27318,0.09537,-0.6922,0.1765
336,0.494,2.06,1.77,0.883,0.355,0.177,0.7352,9.291,0.2252,0.1357,0.775,0.24781,0.817,-0.187,0.04819,0.18727,0.25446,0.12288,-0.7706,0.3905
337,0.902,3.732,4.974,0.023,0.767,0.267,0.6152,13.983,0.2092,0.5319,0.083,0.26617,-1.715,1.955,0.07289,0.15345,0.20946,0.09837,-0.7762,0.3255
338,0.602,2.836,0.63,0.007,0.331,0.429,0.8696,12.189,0.426,0.4087,0.471,0.21721,0.637,1.049,0.16523,0.05921,0.13962,0.13712,0.5986,0.4145
339,1.53,1.524,4.878,0.449,0.931,0.895,0.3544,3.265,0.4236,0.1819,0.801,0.21551,-0.839,-0.361,0.15763,0.15763,0.29154,0.10637,-0.177,0.4205
340,1.91,1.876,3.906,0.063,0.281,0.809,0.5464,14.443,0.1244,0.6117,0.009,0.24883,-1.511,0.737,0.02995,0.05845,0.28038,0.06413,0.523,0.2085
341,0.43,0.22,4.674,0.143,0.411,0.263,0.9096,20.745,0.206,0.6901,0.959,0.15669,0.505,1.229,0.05199,0.10671,0.1461,0.10387,0.0526,0.4075
342,0.95,3.356,3.822,0.511,0.847,0.681,0.8936,11.453,0.2372,0.4759,0.509,0.17403,0.583,-0.859,0.16105,0.04439,0.27102,0.04963,0.0022,0.4275
343,0.238,1.844,5.598,0.649,0.883,0.217,0.436,9.613,0.3548,0.5193,0.409,0.24849,-1.049,0.749,0.15611,0.01589,0.22782,0.07137,-0.723,0.3235
344,0.662,3.276,2.442,0.331,0.697,0.829,0.996,16.513,0.3188,0.2127,0.201,0.13731,-1.697,0.371,0.17055,0.16941,0.23178,0.05938,0.2402,0.3085
345,0.19,2.524,1.962,0.283,0.821,0.093,0.5,22.079,0.1612,0.7573,0.565,0.14819,0.307,0.713,0.18689,0.15383,0.20802,0.09338,0.1926,0.1405
346,1.602,0.732,0.558,0.871,0.179,0.807,0.4216,14.765,0.1508,0.6131,0.555,0.26413,-0.089,0.107,0.18879,0.13901,0.17346,0.08513,-0.7958,0.5175
347,1.922,1.5,0.942,0.157,0.159,0.903,0.6968,14.627,0.3924,0.3177,0.929,0.29609,0.799,1.733,0.13597,0.06225,0.12918,0.10262,-0.583,0.4175
348,1.566,0.892,5.946,0.541,0.781,0.499,0.7368,17.019,0.358,0.1343,0.927,0.14853,0.493,0.161,0.09797,0.15231,0.15294,0.11013,-0.1462,0.2125
349,1.302,3.156,0.282,0.627,0.911,0.337,0.204,8.417,0.1468,0.2253,0.385,0.25257,-0.167,1.037,0.08163,0.04705,0.25734,0.03887,0.5846,0.2815
350,1.298,1.604,3.018,0.995,0.375,0.803,0.7992,2.621,0.2676,0.4255,0.963,0.23217,-1.787,1.241,0.09113,0.08277,0.2109,0.10212,-0.4178,0.2355
351,0.158,2.476,3.342,0.547,0.935,0.449,0.9016,16.651,0.2964,0.3919,0.837,0.13153,-0.599,1.709,0.15003,0.08049,0.12846,0.03112,-0.4262,0.4465
352,1.21,1.572,2.79,0.065,0.805,0.915,0.4792,13.017,0.198,0.2589,0.071,0.18865,-1.343,-0.073,0.10101,0.02349,0.22278,0.04138,-0.1798,0.5685
353,0.518,0.484,3.534,0.219,0.137,0.979,0.468,6.669,0.3452,0.7097,0.161,0.16995,0.331,-0.367,0.11279,0.13255,0.22854,0.06987,0.0498,0.3635
354,0.682,1.22,2.946,0.409,0.967,0.255,0.3832,19.687,0.3412,0.4115,0.603,0.19511,0.649,1.679,0.13065,0.18005,0.23754,0.05437,0.5398,0.3685
355,1.266,1.396,4.29,0.259,0.819,0.095,0.252,16.007,0.2876,0.2533,0.537,0.21857,-1.733,0.269,0.19449,0.12153,0.2757,0.03563,-0.7566,0.2595
356,1.13,0.82,0.738,0.353,0.885,0.405,0.2232,13.201,0.342,0.1231,0.341,0.29677,-0.497,-0.277,0.09417,0.17967,0.16986,0.14663,-0.5858,0.2625
357,0.134,0.356,5.094,0.781,0.485,0.999,0.9864,16.191,0.3396,0.5599,0.955,0.20429,-0.677,-0.673,0.08771,0.04211,0.1875,0.12138,-0.1938,0.2305
358,0.77,1.148,1.578,0.257,0.597,0.531,0.6392,2.667,0.446,0.3387,0.581,0.24101,-1.889,-0.541,0.06681,0.02729,0.26562,0.04287,-0.7174,0.5915
359,0.018,0.796,3.306,0.529,0.327,0.565,0.772,19.641,0.3316,0.4913,0.145,0.15567,-1.469,-0.919,0.18727,0.11051,0.2667,0.11738,-0.7454,0.4405
360,0.242,3.268,4.806,0.303,0.045,0.397,0.7096,15.915,0.2628,0.6859,0.387,0.17165,0.205,1.697,0.11963,0.15915,0.23934,0.11488,-0.359,0.1285
361,0.282,2.212,3.102,0.411,0.187,0.655,0.2728,5.381,0.1388,0.3317,0.689,0.25699,-1.571,1.781,0.19981,0.18043,0.25482,0.11388,-0.1966,0.1785
362,1.87,1.02,0.618,0.577,0.727,0.259,0.4056,8.141,0.1332,0.3373,0.747,0.24033,-0.593,0.665,0.10557,0.12115,0.23358,0.14788,-0.4402,0.1575
363,0.386,1.588,3.438,0.647,0.051,0.399,0.82,2.345,0.4164,0.5067,0.091,0.19273,-0.191,1.073,0.07403,0.06681,0.27714,0.03163,0.0694,0.4595
364,0.214,3.548,2.466,0.187,0.489,0.477,0.3992,23.781,0.2084,0.5963,0.297,0.20497,-0.311,0.725,0.08733,0.06415,0.23718,0.08588,0.4586,0.5585
365,1.966,1.212,1.542,0.843,0.581,0.435,0.2696,16.559,0.3076,0.5207,0.625,0.19069,-0.383,1.703,0.01285,0.05655,0.18606,0.14363,-0.667,0.2575
366,0.098,2.78,1.35,0.395,0.887,0.473,0.2984,21.665,0.366,0.2547,0.465,0.17437,0.895,0.143,0.04477,0.08885,0.21774,0.08063,-0.4066,0.2185
367,0.658,2.748,4.722,0.045,0.249,0.271,0.62,3.081,0.2204,0.4073,0.917,0.21449,-0.293,0.293,0.13103,0.01551,0.27066,0.07938,-0.6614,0.4675
368,1.938,3.5,1.758,0.869,0.299,0.617,0.8568,11.683,0.354,0.1539,0.447,0.19613,-0.509,0.197,0.05123,0.10595,0.1551,0.09063,-0.0342,0.5395
369,0.974,1.14,0.174,0.361,0.599,0.603,0.5592,5.657,0.2012,0.5557,0.779,0.17879,0.499,1.475,0.13027,0.12685,0.1389,0.13062,-0.4094,0.4845
370,0.178,0.628,5.658,0.889,0.575,0.819,0.9704,23.965,0.3092,0.2323,0.399,0.19001,0.469,1.469,0.16751,0.01855,0.2253,0.08613,0.5006,0.1825
371,0.814,1.644,1.998,0.021,0.673,0.013,0.3672,20.239,0.1012,0.2379,0.335,0.13289,-1.199,0.803,0.05465,0.10063,0.21198,0.11138,-0.3114,0.3315
372,0.054,1.788,3.09,0.481,0.623,0.229,0.4136,6.715,0.2508,0.4507,0.151,0.21755,-0.281,1.355,0.16333,0.19373,0.12666,0.11913,-0.4822,0.5535
373,1.414,2.156,5.706,0.475,0.659,0.733,0.8376,14.351,0.3804,0.2659,0.081,0.25189,-0.791,-0.001,0.01019,0.16599,0.24654,0.08413,0.411,0.2545
374,1.194,3.412,2.742,0.727,0.849,0.021,0.564,6.347,0.298,0.1399,0.861,0.27977,0.655,0.191,0.14889,0.08733,0.17058,0.07212,-0.7594,0.3395
